startTime,endTime,value
2024-05-06T14:00:00.000Z,2024-05-06T14:15:00.000Z,1237.77
2024-05-06T13:45:00.000Z,2024-05-06T14:00:00.000Z,1213.69
2024-05-06T13:30:00.000Z,2024-05-06T13:45:00.000Z,1196.17
2024-05-06T13:15:00.000Z,2024-05-06T13:30:00.000Z,1187.5
2024-05-06T13:00:00.000Z,2024-05-06T13:15:00.000Z,1207.33
2024-05-06T12:45:00.000Z,2024-05-06T13:00:00.000Z,1180.78
2024-05-06T12:30:00.000Z,2024-05-06T12:45:00.000Z,1197.33
2024-05-06T12:15:00.000Z,2024-05-06T12:30:00.000Z,1232.8
2024-05-06T12:00:00.000Z,2024-05-06T12:15:00.000Z,1262.06
2024-05-06T11:45:00.000Z,2024-05-06T12:00:00.000Z,1251.35
2024-05-06T11:15:00.000Z,2024-05-06T11:30:00.000Z,1193.7
2024-05-06T11:00:00.000Z,2024-05-06T11:15:00.000Z,1250.29
2024-05-06T10:45:00.000Z,2024-05-06T11:00:00.000Z,1312.35
2024-05-06T10:30:00.000Z,2024-05-06T10:45:00.000Z,1344.31
2024-05-06T10:15:00.000Z,2024-05-06T10:30:00.000Z,1325.29
2024-05-06T10:00:00.000Z,2024-05-06T10:15:00.000Z,1277.9
2024-05-06T09:45:00.000Z,2024-05-06T10:00:00.000Z,1290.18
2024-05-06T09:30:00.000Z,2024-05-06T09:45:00.000Z,1270.47
2024-05-06T09:15:00.000Z,2024-05-06T09:30:00.000Z,1263.8
2024-05-06T09:00:00.000Z,2024-05-06T09:15:00.000Z,1281.88
2024-05-06T08:45:00.000Z,2024-05-06T09:00:00.000Z,1289.77
2024-05-06T08:30:00.000Z,2024-05-06T08:45:00.000Z,1285.72
2024-05-06T08:15:00.000Z,2024-05-06T08:30:00.000Z,1306.97
2024-05-06T08:00:00.000Z,2024-05-06T08:15:00.000Z,1342.07
2024-05-06T07:45:00.000Z,2024-05-06T08:00:00.000Z,1335.73
2024-05-06T07:30:00.000Z,2024-05-06T07:45:00.000Z,1315.5
2024-05-06T07:15:00.000Z,2024-05-06T07:30:00.000Z,1346.96
2024-05-06T07:00:00.000Z,2024-05-06T07:15:00.000Z,1421.34
2024-05-06T06:45:00.000Z,2024-05-06T07:00:00.000Z,1383.29
2024-05-06T06:30:00.000Z,2024-05-06T06:45:00.000Z,1250.25
2024-05-06T06:15:00.000Z,2024-05-06T06:30:00.000Z,1146.79
2024-05-06T06:00:00.000Z,2024-05-06T06:15:00.000Z,1064.48
2024-05-06T05:45:00.000Z,2024-05-06T06:00:00.000Z,1004.26
2024-05-06T05:30:00.000Z,2024-05-06T05:45:00.000Z,929.25
2024-05-06T05:15:00.000Z,2024-05-06T05:30:00.000Z,884.29
2024-05-06T05:00:00.000Z,2024-05-06T05:15:00.000Z,868.05
2024-05-06T04:45:00.000Z,2024-05-06T05:00:00.000Z,943.62
2024-05-06T04:30:00.000Z,2024-05-06T04:45:00.000Z,1090.17
2024-05-06T04:15:00.000Z,2024-05-06T04:30:00.000Z,1303.89
2024-05-06T04:00:00.000Z,2024-05-06T04:15:00.000Z,1517.66
2024-05-06T03:45:00.000Z,2024-05-06T04:00:00.000Z,1693.12
2024-05-06T03:30:00.000Z,2024-05-06T03:45:00.000Z,1853.82
2024-05-06T03:15:00.000Z,2024-05-06T03:30:00.000Z,1943.98
2024-05-06T03:00:00.000Z,2024-05-06T03:15:00.000Z,2020.61
2024-05-06T02:45:00.000Z,2024-05-06T03:00:00.000Z,2093.31
2024-05-06T02:30:00.000Z,2024-05-06T02:45:00.000Z,2204.05
2024-05-06T02:15:00.000Z,2024-05-06T02:30:00.000Z,2275.87
2024-05-06T02:00:00.000Z,2024-05-06T02:15:00.000Z,2301.65
2024-05-06T01:45:00.000Z,2024-05-06T02:00:00.000Z,2343.11
2024-05-06T01:30:00.000Z,2024-05-06T01:45:00.000Z,2370.94
2024-05-06T01:15:00.000Z,2024-05-06T01:30:00.000Z,2429.53
2024-05-06T01:00:00.000Z,2024-05-06T01:15:00.000Z,2481.37
2024-05-06T00:45:00.000Z,2024-05-06T01:00:00.000Z,2471.92
2024-05-06T00:30:00.000Z,2024-05-06T00:45:00.000Z,2367.55
2024-05-06T00:15:00.000Z,2024-05-06T00:30:00.000Z,2237.52
2024-05-06T00:00:00.000Z,2024-05-06T00:15:00.000Z,2144.36
2024-05-05T23:45:00.000Z,2024-05-06T00:00:00.000Z,2061.95
2024-05-05T23:30:00.000Z,2024-05-05T23:45:00.000Z,2013
2024-05-05T23:15:00.000Z,2024-05-05T23:30:00.000Z,1970.25
2024-05-05T23:00:00.000Z,2024-05-05T23:15:00.000Z,1929.86
2024-05-05T22:45:00.000Z,2024-05-05T23:00:00.000Z,1985.14
2024-05-05T22:30:00.000Z,2024-05-05T22:45:00.000Z,2033.74
2024-05-05T22:15:00.000Z,2024-05-05T22:30:00.000Z,2058.44
